弘樹，你在做什麼,諾亞方舟，出航
你瞧，把這個送林內特她會喜歡嗎？,那要看她抽煙嗎？她只抽香煙
對了，你跟傑基談過了嗎？,談了，就在剛才談的
好，但願她能明白點,她能明白的就是永恆的復仇
你開玩笑？,從不開玩笑，朋友
可傑基這個人很固執想要就要，不過呢…她也想要過你？,大概是吧，對，要過
可她脾氣可懷呢，主意又大都得由她做主？,對
男人可受不了這個，是不是？,對對，是受不了
我第一次遇見林內特，怎麼說呢…,就像早晨的太陽蓋過了月亮一樣
認識了她，傑基就不存在了,對，有些女人是有這種力量
可你怎麼擺脫你目前的困境？,我有個絕妙的辦法而且十拿九穩
去火車站，越快越好,謝謝
對了，你準是貝斯納大夫一嘴漂亮的德國式小鬍子,我看你永遠當不了偵探，先生
我叫波洛，霍克爾波洛,啊，著名的波洛先生我未免太失敬了，失敬了
我說，這樣是不是更簡單我們告訴你姓名，你把我們訂的客艙說一下,簡單？啊，那好啊那當然簡單啦，當然啦，這樣一來最簡單不過啦
這下可好了，到底把她給甩掉了,那還用說嘛，你是天才
賽蒙幹得還不錯吧？,像童話一樣
你是瑞奇威家姑娘吧？你是範斯凱勒太太,我還當你不會先打招呼呢我不大跟陌生人打招呼
噢，項鏈真美,謝謝令人驚奇啊
知道怎麼變的嗎？一粒小小的沙子鉆進了一個蚌殼裡，到後來就變成了一顆寶貴的珍珠，戴在你這樣一位美人的脖子上,我可沒這麼想你應該想那蚌為此送命了
我的傭人鮑爾斯她跟世界拳王打過15個回合那拳王就此一蹶不振,對不起，瑞奇威小姐
你對那項鏈又眼饞了,住嘴，鮑爾斯
就因為你對她父親有仇…也用不著這麼粗暴有仇？,她那該死的父親毀了我的全家
我說你應該感激才是要不你不會有幸來服侍我了,光憑這個，也恨不得殺了她
寫文章還要誹謗人，是吧？,真遺憾你居然如此看待《柿子樹下的熱戀》這本書
要知道親愛的我寫這本書是為了恭維你,直說吧，奧特伯恩太太我可不認為被人描寫得像一隻色情狂的猴子是恭維
我想還是由律師來決定，你對我進行下流地描寫，該怎麼賠償我名譽損失，再見,沒教養的！我會讓你知道究竟什麼是名譽
太不負責任了吧？,對，很不負責
裡面沒半點差錯核對過了，我反復地核對過,我總是先看過再簽字，我父親教我的，他常說誰也別信，哪怕你是律師
你去世的老爸爸他真會說笑話,是這樣
就是想喝酒，你呢？,好吧，看在新婚份上
但願我不是在多管閑事我是律師,我得說我非常欣賞你那種一絲不茍的態度
你父親完全正確總要先看過，然後再簽字，我想你也同意吧？,當然，當然反正不急
我希望我沒有得罪他得罪又怎麼了？你是…？,瑞斯，瑞斯上校得罪又怎麼呢
跟我們一起喝一杯吧？,謝謝，太謝謝了
你怎麼樣，波洛先生？來喝一杯慶祝一下,瑞斯和我會跟你們喝的過會兒來
太太，有話跟你說,過會兒，露易絲
過會兒，露易絲,不，這會兒，要緊事酒吧間等你
說吧,我接到份電報
可是太太，你不能不給,得了吧，露易絲
我應該去，你把答應過的錢給我吧，我已經跟了你五年了,這是完全辦不到的
太太，你答應過我,可他們還沒離婚，露易絲
我求求你，我要那筆錢做嫁妝，我幹活沒偷懶,我沒辭你前，你還得照樣做下去
我就知道你來不是什麼…怎麼說的？僅僅是度假來著,我可以告訴你，我秘密地為多爾太太的英國律師事務所工作
我們懷疑安德魯潘寧頓在…,侵吞她的財產？
侵吞她的財產？,就是這麼回事
根據她父親的遺囑她一結婚就可以經營這些財產，而現在她已經結婚了潘寧頓剛想讓她簽一個…,擺脫困境的文件
真的嗎？,是真的！
現在怎樣？,沒什麼
在健全的世界應該把她幹掉來警告別人,幹掉？
對死者不存在誹謗，對嗎？,你的話我聽不太懂
你是不是回到船上去休息一下,好吧
有這事？,噢，有
噢，這真是太奇妙了,簡直叫人無法理解
哪裡有四千年啊？,這些柱子是西元前1788年建的，我們都同意你
怎麼回事？,我沒事，真的沒事
我得去參觀阿布辛剖廟,那可真值得一看
它們怪可怕的,不，不可怕
你還不打算死了心啊？你不肯離去？,不，我不會離去
它會為我發出聲音嗎？,當然！
你怎麼這麼說？,因為這是事實！
最東邊的，就是那個最著名的會發聲的塑像,真的？
真的？,對
我早就盼著跟你私下談一談，可一直找不到機會,我們有什麼可談的？
你在一些有地位有名望的人面前說了我不少很不入耳的話,我說你是個庸醫
那你告我，你敢嗎？,你明知道我不能告
這是要你命的事嘍？,但願這不會要你的命！
幾點鐘了？,鐘在那兒，拿眼看嘛
你是想喝甜酒還是白蘭地？,不，謝謝
在蘇黎世辦學院的是你呀,不錯
我媽媽是好出身,可她的好家風沒傳給你
你肯定帶來了？,當然帶來了
怎麼哪兒也沒有啊,拿眼看嘛
遵命，太太晚安,晚安
好吧，我的披肩呢？,我沒看見
你今天好像困得很，波洛先生,是啊，我非常非常地…我實在太困了，太太也說不上來怎麼了我連眼都睜不開了
真對不起,噢，沒事
今晚尼羅河有點起浪了,是啊，的確，是要翻騰了
再見,再見
賞岸去了？,是啊，月光下可真美，可真是蜜月之夜
來喝點？,不，謝謝
我想睡覺了,我看是該睡了是該睡了
晚安,晚安
不早了，我也該走了,不，你再坐一會兒
談談你自己的事，嗯？,我沒有什麼好談的
我看你夠了吧？,夠什麼？
是沒我的事,對極了
你怎麼了，賽蒙，害怕了？,害怕什麼？害怕我會把我的一段經歷…告訴這位可愛的小姐
我可真得走了,別走，是一段很傷心的事
她怎麼樣？,一個對過去情人開槍的人還能怎麼樣呢？
骨頭打碎了，而且血流了不少,不要緊
我守著她,好
開開門，對,慢點走，慢點走
好了，你給他頭上捂塊濕毛巾,是，醫生
我去把那槍撿回來,那東西留在那兒不太好，是吧？
那東西留在那兒不太好，是吧？,是啊
剛才出事了,知道，知道奧特伯恩小姐告訴我了
傷勢很重，再給我一塊布,好，這就去
鮑爾斯小姐，她不要緊吧？,是的，我給她打了嗎啡
你看是不是需要告訴你妻子？,好，好吧，你去吧
我給你做副夾板等你睡著了我給你夾上，嗯？,謝謝大夫
誰會把它拿走？,誰知道啊？
什麼？,沒什麼
那我就聽你的吩咐了,謝謝
大夫，談談情況吧,是被很小的子彈打中的口徑大概是.22，而且槍口離腦袋很近
噢，你是說燒焦了？,對，對，燒焦了
你看這是什麼？,哦，這個意思很簡單，這是多爾太太臨死前她想對我們指明誰是兇手，所以就用手指蘸上血在墻上寫了J，傑基
你盡說些蠢話，她當時就斷了氣,真的？
真的？,是啊
根本不可能用手蘸血寫字,對，對
你是在開玩笑？,小小的玩笑，不過有點不合時宜
大夫，人什麼時候死的？,她死了至少有六小時
這就太奇怪了,怎麼了呢？
好極了，希望排除嫌疑能夠順利地進行,恐怕不會順利，上校
至少先生，你總不能懷疑我吧？,噢，怎麼不能？
你有充分理由殺她，根據我昨晚的發現,哦，是給你偷聽了
我是說可以告她,那你就毀了！
可是我不會做出這種事,這很難說！
當夜深人靜，你趁著病人睡著的時候溜出了你的客艙，到多爾太太那兒把她殺了,不，大夫先生，我不能排除你你的那些假設…言過其實！
你完全有可能用它打死多爾太太,我可能做，但事實上我沒做！
所以肯定不可能是她殺的,對，完全不可能
你這人真可惡，你裝得又善良又體貼人，原來是想陷害我們！,我必須查明真相究竟是什麼
她是社會上的寄生蟲像她這樣的人應該把她幹掉,噢，是啊，幹掉她來警告別人
我？,是的，你，小姐
簡直胡扯，這話你聽誰說的？,是你親口說的，小姐，三天前
你怎麼竟敢偷聽別人的談話！,刮進耳朵裡的
真的嗎？,對，是真的
你的意思是說你給傑基小姐打了嗎啡之後，她一夜沒醒？,是這樣，過度緊張、醉酒加上嗎啡，船沉了她都醒不了
可我幹嗎要殺多爾太太？這件事都過去這麼多年了,因為造成的後果使你至今心裡感到不滿
不，遺憾的是，小姐，我不會因為你抗議就不懷疑你，依我看，你有手段有動機有時機,你的話說完了嗎，波洛先生？
你的話說完了嗎，波洛先生？,暫且說到這兒，如果有必要，你得準備回答我進一步的問題
暫且說到這兒，如果有必要，你得準備回答我進一步的問題,我絕不回答你
是真的？林內特的事？,千真萬確
你們都以為是我，可我沒殺,安靜點，安靜點，小姐，我們知道你沒殺多爾太太
他會原諒我嗎？,會原諒你的
我看我們還是先去看他，他現在應該醒了,好主意
這件案子最引起我興趣的就是那支槍,槍？怎麼會沒了？
槍？怎麼會沒了？,我不認為槍這麼重要，許多案子兇器常常不見了
在誣陷別人的案子裡也這樣嗎？,不，為什麼兇手在那牆上用血寫下了一個J？又拿走傑基的槍？
不，為什麼兇手在那牆上用血寫下了一個J？又拿走傑基的槍？,我明白你的意思
你還好吧？,好，謝謝
我剛才暈過去了,吃點東西吧，吃了你就有精神了
不，謝謝，我吃不下,你吃不下？
那麼就讓我來吃？,你吃吧，都吃了吧
簡直不能相信林內特死了,太不幸了
我想她一定要受冤枉了,可我知道她不會下這種毒手的
那麼依你看究竟會是誰呢？,幾乎誰都有可能
我來看看你歇得好不好？,我好得不能再好了，謝謝你
屍體是你發現的，你總應該向我們提供一些情況吧？,對不起，你…你懷疑我？一個正派的姑娘？
服侍她上了床以後你去哪兒？,回我艙裡，還能去哪兒？
你沒有看見或是聽見什麼可以提供給我們？,怎麼可能呢？我的客艙是在船的另一邊
還要我說什麼？,並沒有人懷疑你什麼
你最後什麼時候離開多爾太太的？,昨天晚上，我幫她換好睡衣之後
正因為這個所以你非常恨她,可我沒殺她
最後一個問題，露易絲你太太的珍珠項鏈哪兒去了？,她的項鏈？她昨晚上還戴著呢
今天早晨還在嗎？,我沒看見，我走到她床前，看見太太，我大叫起來就跑出來
真夠熱的，我得去換件襯衫,對，稍微歇會兒，讓我們洗洗換換
沒什麼，我聽到了SOS，是故意放的嗎？,當然是故意的，可是別想用一條眼鏡蛇來阻止調查
偵查得怎麼樣了？還沒抓住什麼人嗎？,還沒有
我們一塊兒坐坐談談好嗎？,當然
那麼你就在多爾太太隔壁吧？,是的
夜裡你聽見什麼特別的聲音嗎？,當然聽見了，我睡覺一向很警醒，
昨天夜裡砰的一聲把我驚醒了,砰的一聲？
砰的一聲？,一點沒錯，就像是開香檳酒發出的聲音
會不會是小手槍的聲音？不是開香檳？,很可能
這是你的嗎，太太？,當然
找到了，找到了,太妙了，太妙了
謝謝，喬德里先生,別客氣
請問你指的是什麼呢，先生？,我指的是波斯坦珍珠項鏈，太太
原來是多爾太太的，可是被人奪去了,奪去了？
對這位老太太非得這麼粗暴嗎？你好像對誰都懷疑一番,都有道理的，上校，難道老太太就不會殺人了？
幹嗎這麼急呀？,跟你說，我感到有不祥之兆，越早趕到越好
跟我一塊來喝點什麼？,我不喝，謝謝
對，可誰會為這事殺人呢？,怎麼不會？
我們還沒有檢查過呢,真的，這就查
你們倆都給我走吧,如果我們打擾了你，我們深感不安
打死林內特的不是這種槍,對，當然不是
你們幹什麼？,檢查你的私人文件，先生
檢查別人的東西，這也許是巴黎的習慣,可是這兒是布魯塞爾，先生！
你們沒有權力到我的艙裡來，沒有權力！,我們有權力
這跟我的文件沒有任何關系,恰恰相反，它證實了僅管多爾太太已經結婚，你還企圖控制她所有的財產
你能安排我見見他嗎？只要五分鐘，可以嗎？,有什麼不可以呢？
那又怎麼？可這並不犯法,你們詐騙委託人就是犯法
她的事務井井有條,但願真的如此
你按不到我身上，滾出去！我聽夠了你這些廢話！,總有一天，你不得不從檢察官口裡聽到更多的像我這樣的廢話
啊，很好，體溫下降了,太好了
你怎麼樣啊，我親愛的？,不好，波洛先生，我心裡很難過
我沒有殺她，我發誓,你不必說了，我知道
傑基小姐，現在可以見他,謝謝
昨晚我瘋了，差點兒打死你,靠那支小小的玩具手槍？
這腿還能走路嗎？,你別傻了，一取出子彈我就完全好了
賽蒙，我心裡很難過,別難過，你不必掛在心上
跟我一塊兒喝點吧？,不了，謝謝
晚上好,晚上好
請貝斯納大夫,是，先生
你看這是什麼？,鈔票，像是一張1000法郎的
這對我們有什麼用？兩個女人誰殺的我們還是不知道,不，這話不完全對，要知道你跟我全都弄錯了，該知道的我們幾乎全都知道了，不知道的是那些我們認為不可思議的
把屍體抬到冷藏室去,是，先生
多爾先生，我知道誰殺了露易絲,什麼？你說你知道誰殺了露易絲？
我必須立刻跟你們還有大夫談一談,我要是你我就不進去，大夫正發火呢
你一定是瘋了,不，我沒瘋
你明白了？,我得承認我可是一點不明白
我不許你來這兒,可我必須來，這太重要了
我不願意當著他的面說,那你就乾脆別說了
我知道是誰殺死露易絲的，我親眼看見的,請說下去，太太
你當時是朦朦朧朧看見的嘍？,嗯，是朦朦朧朧的，但是我的視力特別好
她為什麼對我們說著這話？,是暗示
可幹嘛要暗示我們？,她知道兇手是誰
這是貼近她的頭部開的槍？,一點不錯
我愛你,我知道
對，可你還是沒懂我的意思,很抱歉
你跟他本來是情人,現在仍然是情人
這不是真的，不是的！,這是真的，何必要抵賴呢
你是有一點怪我，是嗎？,是的
我們剛剛訂了婚,恭喜你了，小姐
這個地方快要像個殯儀館了,天哪，沒多久你也該去那兒了
謝謝，再見了,再見，祝你好運
你需要去散散心避避暑,剛才我才想到要去戈壁灘玩玩
要不要我來開啊！好嗎？,好啊
那他們見到了什麼嗎？,他們不認識這個女孩，沒有見過這輛車，一無所獲
我們在開車回家的路上,在回家的路上，沒有錯，是在回家的路上
那麼，我們怎麼才能救出那個舊旅館裡的那些姑娘呢？,你不可能的，無論你做什麼她們都是死的
那我就不明白了，如果我們不能救出她們，那我們測試的目的又是什麼？,目的就是要習慣這些
我五分鐘之內就可以搞到她的電話號碼,我只要兩分鐘就夠了
說話算數啊，我賭20美元,20元不少啊
嗨，我想我認識你，對吧？,你是...啊...吉爾，對吧？
你胡扯什麼？,你不會明白的
對不起，我看到了,別太擔心，沒有什麼大不了的
路過他的辦公室時，桌子上有些推薦信,我看了
他要加入這個團隊嗎？,他只是來觀察的，並不參與其中
對他友善點，就像對待我的屁股一樣，無意冒犯，探長先生,沒有關係，我就當沒有聽到
事情並不總是這麼完美,能聽到你也這麼說，真好，長官
我把要點說清楚了嗎，探長先生？,基本上是這樣的
別擔心，在內心裡他是百分之百的美國人，對嗎？,絕對的美國人，像判了死刑一樣
噢，還有另外一個人很快就會過來,會是誰？
嘿，哈里斯，無論你設置了什麼樣噁心與複雜的犯罪景象，我都會破案的,希望如此
這些罐子是作什麼的？,也許是用來模擬軍事目標的，總之來說，都是用作軍事用途的，別碰就是了
嗯，探長先生，你來這個像天堂一樣的小島的真正的目的是什麼呢？,與你一樣，被推薦來的
為什麼呢？我的意思是你放走了兇手？還是在哪方面失敗了？,到底是為什麼呢？
你不會對我的故事感興趣的,實際上我想知道
我是餵鴨子來的,我見到你也在餵鴨子，也許我們可以一塊餵
不，不，沒有關係,好的
我不吸煙,我知道
嘿，文斯，你去查看一下小鎮的那一邊,好，好，好
探長，我們一起找？,你自己找吧，我在度假
我想你偏離了工作方向,可能吧
我想知道它是怎麼他媽的到這裡的,我說問題的關鍵是它為什麼在這裡
這應該意味著什麼？,那麼，這是不是意味著某種警告？
你知道我恨你什麼嗎？,什麼？
莎拉，為什麼你不檢查一下那個受害人？,好的
為什麼你不去查看一下僱員記錄？或者流水賬目，看看誰在這裡買過東西，誰在這裡工作，諸如此類,讓我來做個徹底的搜查，找出時間線索
你能不能把這些都記下來？,當然可以
我的腿,不，別動它
快救我,快離開，不然會倒在你身上
讓我們談談這個還有哈里斯吧,不會是哈里斯幹的
你不應該帶武器的,我很高興我帶來了
我們是不應該帶武器的,我從來是槍不離身的
你沒有事吧？,是的，我告訴你了我沒有事
是的，我告訴你了我沒有事,是的，我知道你告訴過我，但是當人們問我有沒有事的時候，我會說都沒有事
那麼我是不是可以問些別的問題？,無論什麼都可以
因為敵人可能就在身邊，你是不是有什麼事瞞著我？,沒有
我們知道在島上有個殺手，是一個知道我們是什麼人，我們來這兒做什麼的人,這就是問題所在，除了我們之外沒有別的人在島上
你要往哪兒跑？,嗨，夥計，我可以解釋
這間房間從什麼時候開始是安全的？,從我們全都在這間房間裡開始
住嘴,聽著，我可以解釋
聽著，我可以解釋,我說住嘴
你不知道我是誰,我知道你殺了J.D，這就是我所知道的
我想知道下一個陷阱是什麼，現在就想知道,我不能告訴你，因為我不知道
你從到這兒以來一直在說謊,那也不能證明我是兇手啊
如果你不告訴我們真相，你將永遠不能離開這個房間，現在開口說吧,好的
僅僅談話，也許並不足以解決問題,聽著，他們採取這種方式一定有其原因，不是嗎？
你們可以用測謊儀來測試我，快測啊,他在說謊，看他的眼睛
我不是個有暴力傾向的人,那你就快要真正的認識你自己，知道自己是怎麼回事了
六點，我們兩個中有一個會死,我知道，那是你
我也去與你一塊搜查,你不想這麼做的，夥計
有人知道嗎？我們在這裡思考的所有人？,就這麼簡單，都是他媽的該死的數字
什麼？,那是什麼？
你就在那邊上，你能摸著嗎？相信我，在那個儲藏室有個電源控制箱,聽著，我能
你沒有事吧？,是啊
你確定嗎？,對
一般人要學幾年的相關專業課才行,沒錯
看著我，看著我，看著我,說的都是我，嗯？
你知道這個故事讓我很不安,如果我不知道會令你更加不安
槍放在桌子上，所有的人,我不會交出我的槍的，我從來都槍不離身的
檢測一定是什麼地方搞錯了,我不會跟你廢話
開始吧,等等
她想要我們都死於水下,真殘忍
你走出那個門，你就別再回來了,我為什麼要回來？
如果他發現他的訓練項目會被取消又會如何？,不，不，沒有可能
我們每個人都會幾招,也許她也會這幾招
我不相信她,你們我誰都不相信
剩下的會是誰？,剩下的是最後一個還站著的男人
你參加FBI就是為了這個？,沒錯
最後一個問題,什麼時候情勢算是安全了，探員？
史達琳，克勞福要見你,謝謝
找克勞福嗎？他快回來了，在他的辦公室等一會吧,好的
你的導師說你是班裡的高材生,希望是吧，他們還沒有公佈成績
坐下,是，長官
它說你畢業後，想在行為科學組替我工作,是的，我很想
我們正在訪問被囚禁的連環殺手，作變態行為的分析，對一些懸案會有很大幫助,喔喔
你會否很易受驚？,不會
我們最想見的那個人拒絕合作，我想你去精神病院找他,那人是誰？
但無論如何我們都得嘗試,若他不合作，我要如實報告
他的容貌和監獄裡的狀況如何？,這是萊克特的檔案
週三早上8點把你的報告交給我,好的
對不起，為何這樣急？,萊克特已經坐牢很多年了
他和野牛比爾是否有關連？,但願有，我要你非常留意
執行你的任務，但千萬別忘記他的身份,是什麼？
你會在巴爾的摩過夜嗎？如果你有適當的嚮導，這可是個很好玩的城市,我肯定，這是個了不起的城市
但我要見萊克特醫生，下午還要回去報告,是的，那我們快點吧
克勞福真是聰明，他利用你,什麼意思？
什麼意思？,找個漂亮的女人來引誘他，我相信這8年來萊克特都沒見過女人，而你正合他的胃口
不可接受他給你的東西，明白嗎？,明白
你若在我辦公室時提出來，就可省掉我的時間了,是的，但我會錯過與你同行的樂趣
若我單獨去的話，我們運氣可能會好點,你認為如何？
你好，我是巴尼，他說過了，不要走近那塊玻璃,對，他說過了，我是克麗絲·史達琳
他在最盡頭的那個牢房,好的，謝謝你
靠右走吧我放了一張椅子給你,很好，謝謝你
你是克勞福的人，是嗎？,是的
可否看看你的證件？,當然可以
一周後就到期了，你不是真的聯邦調查局探員吧？,我仍在受訓
克勞福派個見習生來見我？,是的，我是個學生，我是來向你學習的，也許你可以決定，我是否夠資格這樣做
那些細節都是來自記憶嗎？,史達琳探員，我只有記憶，沒有景觀
至於你這份拙劣的問卷，就不行了,我只是要求你看看它，做不做隨便你
他一定很忙了,忙於追捕那個新手野牛比爾吧？
你可知道，為何他被稱為野牛比爾？,請告訴我，報紙上沒有說
你以為憑這份拙劣的東西，便可分析我？,不是，我相信你的學識
那做這個測驗吧,不做，但我會令你開心
我會給你一個大好機會,什麼？
爸爸，你有沒抓到壞人？,沒有，他們跑掉了
轉過身來，把雙手放在後面,好的
邁克斯死了,怎麼會？
你的電話，是教官,謝謝
但你提到莫菲，有後續行動嗎？,他在被捕前，把大部分病人的病歷銷毀了
我不知道對這件事該有何感想,你不用感想什麼，萊克特這樣做只是為了自娛
自從1980年就沒人來過？,據我所知，沒有
要幫忙嗎？,好的
我的顧客都很重視隱私權,我答應不會擾亂任何東西
為何你不問我，關於野牛比爾的事？,你知道他的事？
沒有大礙，只是皮外傷,謝謝
若你沒有殺他，那是誰殺？,誰知道？對他來說是件好事
賴普是個異性裝扮癖好者？,生活上？不是，只是普通的躁狂抑鬱
你看到他時，有何感覺？,初時很害怕，後來便很振奮
克勞福在提拔你，是嗎？,看來你們互相傾慕呢
你認為克勞福對你有遐想嗎？,我從沒想過
跟你做愛？,我沒興趣，這是邁克斯會說的那種話
要我幫忙嗎？,可以嗎？
當然可以,謝謝你
可以嗎？,當然可以
不用客氣，你好像是傷殘人士,是的，我搬到這裡但搬不上貨車
來吧，抓著，上,好的
你上車，我想把它推進去,真的很謝謝你
行了嗎？,行了，很好
我們會跟克勞福一起去,去哪裡？
史達琳，仔細看看，告訴我你有何發現,他是個白種男人
他不是個流浪者，他有自己的獨立房子,為何？
為何？,他下毒手時，需要私人地方
不錯，有問題嗎？,有的
什麼？,對不起
謝謝,謝謝
你還觀察到什麼？,她不是當地人
瑞，替她的牙齒拍照，稍後傳真到失蹤人口組,好的
那是什麼？豆莢嗎？,不，是一隻蟲繭
幫幫我,好的
你看這些是什麼？,跟其他死者的形狀不同，拍幾張大特寫
探員們想看你怎樣應付，很要緊的,我明白了
那令你很氣惱吧？,那只是個煙幕，我要打發他走
不公平，你用食物引誘它,真無賴，仍然是輪到我
若那只甲蟲推動你的棋子，也算數嗎？,當然算數，你怎麼玩的？
這東西從哪來的？它黏糊糊的,在一個被殺死者身上找到的，屍體在埃爾克河裡
是野牛比爾幹的嗎？,我不能透露
史達琳探員，你不查案時會做什麼？,做個學生
博士，你是否對我有意？,是的
找到了,你找到什麼？
認識它的人，多叫它做骷髏飛蛾,它從哪裡來？
他是我的病人，我有知情權,我明白
請你跟他談，或讓我執行任務，明白嗎？,如果你的分析，能幫助我們抓到野牛比爾，及時救出凱瑟琳馬丁，參議員答應把你轉送到位於紐約奧尼達公園，可看到附近園林景色的醫院
好嗎？克麗絲，可憐的凱瑟琳在等著,好吧
你最糟的童年記憶是什麼？,家父去世
談談西維州小姐吧，她是否身材肥大？,是的
你有捉拿到他的本領，知道嗎？,不知道，為何？
還有什麼線索？,她的喉嚨被異物塞住
一隻蝴蝶？,是的，一隻飛蛾
你父親被殺後你成了孤兒，後來怎樣？,我去了蒙大拿州，跟我母親的表妹夫婦同住
他們有一個牧場,牧牛場？
你在那裡住了多久？,兩個月
為何時間這麼短？,我跑掉了
我做吧,好的
你仍以為可在沙灘漫步和看鳥兒嗎？,不會了
她沒聽過跟你有任何協議,他們騙你
傑克，漢內堡萊克特正被轉送往孟斐斯途中,轉送？
你可有個見習生，冒參議員之名向萊克特提出一個虛假建議？,是我的主意，我逼不得已
我帶了一份宣誓書，保證你新的權利,在我簽署前要看看的
你有沒有給她餵奶？,我有的
令你的乳頭變得堅挺，是嗎？,你這個混蛋
告訴我，媽媽，當你的小女兒被殺時，你會感到振奮？,把這個畜生帶回巴爾的摩
若我再想起什麼，我會通知你的,好的，謝謝你
你的套裝很漂亮,謝謝
野牛比爾叫什麼名字？,這是目前有關當局的秘密
小姐，你知道規矩吧？,知道，我以前盤問過他
你畫的？,是
還是在你們破案前，克勞福派你來說最後一次花言巧語？,不，是我自己想來的
你保重，日後報答我吧,我不能作那個承諾
你尋找的這個人，他做什麼？,殺害女人
他主要是做什麼？他殺人是為了滿足什麼？,憤怒，社會認同和性困惑
你的眼睛，又可有尋找你要的東西？,有的，請你告訴我吧
有的，請你告訴我吧,不，輪到你告訴我了
你可有感到一些眼睛在盯著你？,有的
我聽到一種奇怪的聲音,是什麼？
你怎麼做？,我下樓，走出屋外
你在何時出發？,很早，天還沒亮
有東西吵醒你，是不是一個夢？,是尖叫聲，像小孩的尖叫聲
給我兩分鐘時間穿衣服,好的
我現在只知道一件事,什麼
你和死者為什麼會在那家酒店,我們是被要脅才去的
為什麼是這家離你住處300公里遠的酒店,不知道
把你們叫到那麼偏遠的地方不覺得奇怪嗎,這有關係嗎
醒後最先是什麼情況記得嗎,有敲門聲
我告訴你這是場陰謀你會怎麼想,我跟你說了怎麼回事你還要我說什麼
談得不順利,我們沒達成共識
幾點了,快六點了
導航上不是這個方向,往這條路開更快
要我開嗎,來開吧
我總在撒謊,你和我在一起時就不會
但你和我在一起很開心對嗎,我喜歡我們在一起的感覺
你想離開索尼婭,不想
你沒事嗎,應該沒事
你在幹嘛,我在報警
這裡出了什麼事,我開車分心撞到了他的車
要我叫救護車嗎,不用沒事謝謝
他要是看到了車裡的人呢,得把人帶走
我要怎麼做,不知道
你怎麼處理那輛車的,我把它沉了
後來發生了什麼事,我用我的預付費電話卡聯繫了羅拉跟她說我在哪
怎麼了,我的車壞了
一切都好嗎,撞到一頭鹿不過我沒事謝謝
你是做什麼的,我是開書店的
你還沒告訴我你的名字,拉奎爾
你的航班是幾點的,我正想打電話跟你說我趕不上了
你趕不上是出什麼事了嗎,沒有只是引擎出了問題
我愛你,我也愛你
你受傷了嗎你的手腕上有血,可能是鹿身上的
讓我看看會不會被感染,不用了我沒受傷
你要喝咖啡嗎,好的
進來吧,不了我就在這等
你還好嗎,我沒事謝謝
你真的什麼都不想吃嗎,不用了謝謝
你有孩子嗎,沒有沒有
留下吃晚飯嗎,已經很晚了我得走了抱歉
你在這裡有聽到電話鈴聲嗎,沒
奇怪他出門從不會不帶手機,他大概忘記帶了
菲利克斯你在哪,我剛下飛機在畢爾巴鄂的機場
他說了什麼,一切都在控制之中不要擔心
據報告來看你沒有停車票能證明那輛車在那停放過,我弄丟了我是放口袋裡的可能在我走路時掉了出來
你跟那起男孩失蹤案有關嗎,怎麼說
我還有一件事要你幫忙,什麼
你在哪給我打電話,電話亭
在有監視器的地方打電話很不明智啊,我知道我當時很緊張
那你什麼時候打的,我意識到她會不擇手段的時候
準備好出海遊玩了嗎,我剛接到個重要電話我要去跟李先生會面
這是什麼,那個男孩的錢包
你感覺怎麼樣,非常高興
有名記者堅持要見你他說他認識你,好的
你知道我是誰嗎,我只知道你不是伊凡·索托
她不是一個人肯定有人和她同行,你怎麼確定呢
先生請跟我們走,別碰我
這些會讓你想到什麼,讓我想到那家酒店的謎團
出於什麼目的呢,為了勒索我們
我預定了715號房,好的是叫阿德里安·多里亞嗎
你要我找什麼,細節
晚安,晚安
哪裡的聲響,715號房
有關控方證人,我們還不知道名字但我們知道是誰了
我們得快點想辦法,我想我完蛋了
你為什麼不說出真相,因為對於湯瑪斯·加里多不留蹤跡地消失一事我想聽聽你的說法
那為什麼要等我跟你說呢,為確保我能把我的人生委託到你手上
你把車沉哪了,我在這裡把車推下水的
四小時後在廢車場旁邊的咖啡店碰面,好的
你沒法證明不是,你也沒法證明是
你在幹嘛,我在報警
你瘋了嗎,沒有
如果蘿拉對他們坦白了一切他們為什麼不去報警,因為他們知道你為了逃避罪責絕不會說出他們兒子的屍體在哪
你的推測毫無根據,湯瑪斯有的是根據
那就向我承認你殺了蘿拉,我承認
你有咖啡嗎,有
我們很需要咖啡今晚將是漫漫長夜,好的
我們可以信任他嗎,絕對可以
我手機關機了有什麼事,我找到他了能說你當時不在那
控方的事怎麼樣了,沒事別擔心
絲隆小姐請描述妳的工作性質,依照律師建議根據美國憲法第五修正案賦予的權利恕我拒絕回答
妳願意發誓所說一切句句屬實不然就是觸犯偽證罪,我願意
請說出全名以便記錄,麥德琳伊莉莎白絲隆
妳在柯式企業工作性質是什麼,我拒絕回答
今天值得紀念妳知道為什麼嗎,因為我自由了
說件妳昨天不能做但今天能做的事,辭職
妳打算怎麼辦,叫印尼政府說他們要招待傑克參議員去他們的農園旅遊
如果是印尼政府出錢那就會犯法,若是透過非營利組織贊助就完全合法
預計會有多少人,500到1000人
意思是可能沒人到,至少會有500人其他要看天氣
你剛從女廁出來嗎,我不知道妳在講什麼
蛋糕和餅乾都有銷售稅嗎,不知道
大家聽好了我要說一個故事,拜託不要
